latitude,longitude,altitude,geometry,Name,geom,address
1.331987069,103.9387326,0,Point,kml_1,"1.331987069,103.9387326","Bedok 85 Wet Market, 85, Bedok North Avenue 4, Bedok, Singapore, Southeast, 460085, Singapore"
1.287330767,103.8183389,0,Point,kml_2,"1.287330767,103.8183389","Redhill Food Centre, 85, Redhill Lane, Bukit Merah, Singapore, Central, 150085, Singapore"
1.37238494,103.8289942,0,Point,kml_3,"1.37238494,103.8289942","Sembawang Hills, Upper Thomson Road, Ang Mo Kio, Singapore, Central, 574416, Singapore"
1.36315712,103.8667375,0,Point,kml_4,"1.36315712,103.8667375","Serangoon Garden Market, Serangoon Garden Way, Serangoon, Southeast, 555950, Singapore"
1.352007442,103.8370318,0,Point,kml_5,"1.352007442,103.8370318","Shunfu Mart, Shunfu Road, Bishan, Singapore, Central, 575741, Singapore"
1.317083351,103.879417,0,Point,kml_6,"1.317083351,103.879417","49, Sims Place, Geylang, Singapore, Southeast, 380049, Singapore"
1.282235148,103.8431776,0,Point,kml_7,"1.282235148,103.8431776","Chinatown Complex, 335, Smith Street, Chinatown, Outram, Singapore, Central, 052335, Singapore"
1.33458936,103.7215199,0,Point,kml_8,"1.33458936,103.7215199","Taman Jurong Wet Market & Food Centre, 3, Yung Sheng Road, Taman Jurong, Jurong West, Singapore, Southwest, 618499, Singapore"
1.345639521,103.9446245,0,Point,kml_9,"1.345639521,103.9446245","Round Market & Food Centre, 137, Tampines Avenue 2, Tampines, Singapore, Northeast, 520140, Singapore"
1.300789315,103.7976258,0,Point,kml_10,"1.300789315,103.7976258","48, Tanglin Halt Road, Tanglin Halt, Queenstown, Singapore, Central, 142048, Singapore"
1.276614611,103.843167,0,Point,kml_11,"1.276614611,103.843167","Tanjong Pagar Market And Food Centre, 6, Tanjong Pagar Road, Chinatown, Outram, Singapore, Central, 081006, Singapore"
1.32084835,103.7428916,0,Point,kml_12,"1.32084835,103.7428916","37A, Teban Gardens Road, Teban Gardens, Singapore, Southwest, 601037, Singapore"
1.277366838,103.8186417,0,Point,kml_13,"1.277366838,103.8186417","Blk 11 Telok Blangah Crescent Market & Food Centre, 11, Telok Blangah Crescent, Telok Blangah, Bukit Merah, Singapore, Central, 090008, Singapore"
1.273368283,103.8076268,0,Point,kml_14,"1.273368283,103.8076268","79, Telok Blangah Drive, Bukit Merah, Singapore, Southwest, 100079, Singapore"
1.273913799,103.8079436,0,Point,kml_15,"1.273913799,103.8079436","82, Telok Blangah Drive, Bukit Merah, Singapore, Southwest, 100082, Singapore"
1.272715797,103.8221173,0,Point,kml_16,"1.272715797,103.8221173","36, Telok Blangah Rise, Radin Mas, Bukit Merah, Singapore, Central, 099840, Singapore"
1.285088258,103.8323488,0,Point,kml_17,"1.285088258,103.8323488","Tiong Bahru Market, Seng Poh Road, Tiong Bahru Estate, Bukit Merah, Singapore, Central, 168898, Singapore"
1.338092686,103.8447316,0,Point,kml_18,"1.338092686,103.8447316","127, Lorong 1 Toa Payoh, Braddell, Toa Payoh, Singapore, Central, 310127, Singapore"
1.334548165,103.8519991,0,Point,kml_19,"1.334548165,103.8519991","Toa Payoh Vista Market, 74, Lorong 4 Toa Payoh, Toa Payoh Vista, Toa Payoh, Singapore, Central, 310074, Singapore"
1.338474752,103.8495135,0,Point,kml_20,"1.338474752,103.8495135","93, Lorong 4 Toa Payoh, Braddell, Toa Payoh, Singapore, Central, 310093, Singapore"
1.336038822,103.8529416,0,Point,kml_21,"1.336038822,103.8529416","Toa Payoh Market and Hawker Centre, 75, Lorong 5 Toa Payoh, Toa Payoh Vista, Toa Payoh, Singapore, Central, 310075, Singapore"
1.335231459,103.857036,0,Point,kml_22,"1.335231459,103.857036","22, Lorong 7 Toa Payoh, Kim Keat Palm, Toa Payoh, Singapore, Central, 310022, Singapore"
1.340260835,103.8543953,0,Point,kml_23,"1.340260835,103.8543953","Toa Payoh Lorong 8 Market, 210, Lorong 8 Toa Payoh, Braddell, Toa Payoh, Singapore, Central, 310210, Singapore"
1.315028044,103.8716203,0,Point,kml_24,"1.315028044,103.8716203","17, Upper Boon Keng Road, Kallang, Singapore, Southeast, 380017, Singapore"
1.2852464,103.8458189,0,Point,kml_25,"1.2852464,103.8458189","Hong Lim Market and Food Centre, Upper Hokien Street, Chinatown, Outram, Singapore, Central, 051531, Singapore"
1.311889721,103.7591661,0,Point,kml_26,"1.311889721,103.7591661","502, West Coast Drive, Clementi, Singapore, Southwest, 120502, Singapore"
1.31180301,103.7597513,0,Point,kml_27,"1.31180301,103.7597513","503, West Coast Drive, Clementi, Singapore, Southwest, 120503, Singapore"
1.322943062,103.8551377,0,Point,kml_28,"1.322943062,103.8551377","Whampoa Makan Place, 90, Whampoa Drive, Whampoa Spring, Novena, Singapore, Central, 320089, Singapore"
1.323421751,103.8540681,0,Point,kml_29,"1.323421751,103.8540681","Whampoa Makan Place - Morning Market, 91, Whampoa Drive, Whampoa Spring, Novena, Singapore, Central, 320090, Singapore"
