Address,storey_range,month,town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Latitude,Longtitude
1 QUEEN'S RD,04 TO 06,2022-07,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,123.0,Standard,1974.0,52 years 05 months,900000.0,1.31726629524359,103.806782877524
1 QUEEN'S RD,07 TO 09,2020-03,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,123.0,Standard,1974.0,54 years,890000.0,1.31726629524359,103.806782877524
1 QUEEN'S RD,10 TO 12,2021-08,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,123.0,Standard,1974.0,51 years 09 months,950000.0,1.31726629524359,103.806782877524
1 QUEEN'S RD,16 TO 18,2018-10,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,125.0,Standard,1974.0,55 years 04 months,888000.0,1.31726629524359,103.806782877524
1 QUEEN'S RD,19 TO 21,2021-06,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,123.0,Standard,1974.0,51 years 11 months,912000.0,1.31726629524359,103.806782877524
1 QUEEN'S RD,22 TO 24,2017-05,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,120.0,Standard,1974.0,56 years,915000.0,1.31726629524359,103.806782877524
1 TOH YI DR,01 TO 03,2020-09,BUKIT TIMAH,5 ROOM,1,TOH YI DR,122.0,Model A,1988.0,69 years 01 month,830000.0,1.33958155877064,103.774586318946
1 TOH YI DR,04 TO 06,2022-09,BUKIT TIMAH,4 ROOM,1,TOH YI DR,104.0,Model A,1988.0,70 years 01 month,743888.0,1.33958155877064,103.774586318946
1 TOH YI DR,07 TO 09,2019-05,BUKIT TIMAH,5 ROOM,1,TOH YI DR,122.0,Model A,1988.0,70 years 01 month,823000.0,1.33958155877064,103.774586318946
1 TOH YI DR,10 TO 12,2020-05,BUKIT TIMAH,5 ROOM,1,TOH YI DR,128.0,Improved,1988.0,69 years 06 months,900000.0,1.33958155877064,103.774586318946
1 TOH YI DR,13 TO 15,2018-12,BUKIT TIMAH,5 ROOM,1,TOH YI DR,122.0,Improved,1988.0,68 years 07 months,850000.0,1.33958155877064,103.774586318946
10 TOH YI DR,04 TO 06,2020-07,BUKIT TIMAH,EXECUTIVE,10,TOH YI DR,154.0,Maisonette,1989.0,70 years 07 months,1058000.0,1.33753956576433,103.773161066389
11 TOH YI DR,01 TO 03,2022-11,BUKIT TIMAH,5 ROOM,11,TOH YI DR,122.0,Model A,1989.0,71 years,850000.0,1.33800261167656,103.77260327239
11 TOH YI DR,04 TO 06,2021-08,BUKIT TIMAH,5 ROOM,11,TOH YI DR,128.0,Model A,1989.0,71 years 03 months,805000.0,1.33800261167656,103.77260327239
11 TOH YI DR,07 TO 09,2022-01,BUKIT TIMAH,4 ROOM,11,TOH YI DR,108.0,Model A,1989.0,70 years 02 months,828000.0,1.33800261167656,103.77260327239
11 TOH YI DR,10 TO 12,2020-11,BUKIT TIMAH,4 ROOM,11,TOH YI DR,108.0,Model A,1989.0,69 years 11 months,720000.0,1.33800261167656,103.77260327239
12 TOH YI DR,01 TO 03,2022-04,BUKIT TIMAH,4 ROOM,12,TOH YI DR,104.0,Model A,1989.0,66 years 11 months,688000.0,1.33840274340359,103.772685810097
12 TOH YI DR,04 TO 06,2022-10,BUKIT TIMAH,5 ROOM,12,TOH YI DR,122.0,Improved,1989.0,69 years 04 months,900000.0,1.33840274340359,103.772685810097
