month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Address,Latitude,Longtitude
2017-01,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,10 TO 12,44.0,Improved,1979,61 years 04 months,232000.0,406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
2017-05,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,10 TO 12,44.0,Improved,1979,61 years 01 month,235000.0,406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
2018-03,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,01 TO 03,44.0,Improved,1979,60 years 02 months,202000.0,406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
2018-03,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,01 TO 03,44.0,Improved,1979,60 years 02 months,210000.0,406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
2018-05,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,07 TO 09,44.0,Improved,1979,60 years 01 month,220000.0,406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
2018-06,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,10 TO 12,44.0,Improved,1979,60 years,210000.0,406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
2019-10,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,10 TO 12,44.0,Improved,1979,58 years 08 months,223000.0,406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
2020-05,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,07 TO 09,44.0,Improved,1979,58 years 01 month,203000.0,406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
2020-06,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,07 TO 09,44.0,Improved,1979,58 years 01 month,200000.0,406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
2021-09,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,04 TO 06,44.0,Improved,1979,56 years 09 months,233000.0,406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
2022-02,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,04 TO 06,44.0,Improved,1979,56 years 04 months,235000.0,406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
2022-11,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,04 TO 06,44.0,Improved,1979,55 years 07 months,280000.0,406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407
2017-01,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,01 TO 03,67.0,New Generation,1978,60 years 07 months,250000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2017-02,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,07 TO 09,67.0,New Generation,1978,60 years 06 months,295000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2017-11,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,10 TO 12,67.0,New Generation,1978,59 years 09 months,288000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2017-11,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,10 TO 12,67.0,New Generation,1978,59 years 09 months,298000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2018-06,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,01 TO 03,82.0,New Generation,1978,59 years 03 months,345000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2019-01,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,10 TO 12,67.0,New Generation,1978,58 years 07 months,266000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2019-03,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,07 TO 09,67.0,New Generation,1978,58 years 05 months,290000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2019-12,ANG MO KIO,4 ROOM,108,ANG MO KIO AVE 4,04 TO 06,83.0,New Generation,1978,57 years 09 months,280000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2020-03,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,07 TO 09,67.0,New Generation,1978,57 years 05 months,259000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2020-07,ANG MO KIO,4 ROOM,108,ANG MO KIO AVE 4,10 TO 12,92.0,New Generation,1978,57 years 01 month,408000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2020-10,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,10 TO 12,67.0,New Generation,1978,56 years 10 months,292000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2021-03,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,04 TO 06,82.0,New Generation,1978,56 years 06 months,358000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2021-03,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,07 TO 09,67.0,New Generation,1978,56 years 06 months,275000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2021-05,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,04 TO 06,67.0,New Generation,1978,56 years 04 months,290000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2021-06,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,07 TO 09,67.0,New Generation,1978,56 years 03 months,320000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2021-06,ANG MO KIO,4 ROOM,108,ANG MO KIO AVE 4,07 TO 09,83.0,New Generation,1978,56 years 03 months,398000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2021-10,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,10 TO 12,67.0,New Generation,1978,55 years 11 months,338000.0,108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369
2017-01,ANG MO KIO,3 ROOM,602,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,62 years 05 months,262000.0,602 ANG MO KIO AVE 5,1.38070883044887,103.835368226602
