month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Address,Latitude,Longtitude
2017-01,BEDOK,2 ROOM,101,BEDOK NTH AVE 4,04 TO 06,45.0,Improved,1978,60 years 06 months,238000.0,101 BEDOK NTH AVE 4,1.334484667124,103.937924710969
2017-09,BEDOK,2 ROOM,101,BEDOK NTH AVE 4,04 TO 06,45.0,Improved,1978,59 years 09 months,222000.0,101 BEDOK NTH AVE 4,1.334484667124,103.937924710969
2018-10,BEDOK,2 ROOM,101,BEDOK NTH AVE 4,07 TO 09,45.0,Improved,1978,58 years 08 months,208000.0,101 BEDOK NTH AVE 4,1.334484667124,103.937924710969
2019-03,BEDOK,2 ROOM,101,BEDOK NTH AVE 4,10 TO 12,45.0,Improved,1978,58 years 03 months,215000.0,101 BEDOK NTH AVE 4,1.334484667124,103.937924710969
2020-10,BEDOK,2 ROOM,101,BEDOK NTH AVE 4,13 TO 15,45.0,Improved,1978,56 years 08 months,210000.0,101 BEDOK NTH AVE 4,1.334484667124,103.937924710969
2022-08,BEDOK,2 ROOM,101,BEDOK NTH AVE 4,13 TO 15,45.0,Improved,1978,54 years 10 months,298000.0,101 BEDOK NTH AVE 4,1.334484667124,103.937924710969
2017-01,BEDOK,3 ROOM,548,BEDOK NTH AVE 1,04 TO 06,68.0,New Generation,1980,62 years 06 months,272000.0,548 BEDOK NTH AVE 1,1.33131021834565,103.92685391703
2017-09,BEDOK,4 ROOM,548,BEDOK NTH AVE 1,07 TO 09,93.0,New Generation,1980,61 years 09 months,393000.0,548 BEDOK NTH AVE 1,1.33131021834565,103.92685391703
2017-11,BEDOK,3 ROOM,548,BEDOK NTH AVE 1,07 TO 09,68.0,New Generation,1980,61 years 07 months,275000.0,548 BEDOK NTH AVE 1,1.33131021834565,103.92685391703
2018-04,BEDOK,3 ROOM,548,BEDOK NTH AVE 1,01 TO 03,82.0,New Generation,1980,61 years 02 months,350000.0,548 BEDOK NTH AVE 1,1.33131021834565,103.92685391703
2018-06,BEDOK,3 ROOM,548,BEDOK NTH AVE 1,01 TO 03,68.0,New Generation,1980,61 years 01 month,270000.0,548 BEDOK NTH AVE 1,1.33131021834565,103.92685391703
