month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Address,Latitude,Longtitude
2017-01,BUKIT TIMAH,4 ROOM,4,TOH YI DR,07 TO 09,104.0,Model A,1988,70 years 07 months,670000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2017-04,BUKIT TIMAH,4 ROOM,4,TOH YI DR,07 TO 09,104.0,Model A,1988,70 years 05 months,675000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2017-08,BUKIT TIMAH,4 ROOM,4,TOH YI DR,10 TO 12,104.0,Model A,1988,70 years,706000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2017-11,BUKIT TIMAH,4 ROOM,4,TOH YI DR,13 TO 15,104.0,Model A,1988,69 years 09 months,735000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2018-01,BUKIT TIMAH,4 ROOM,4,TOH YI DR,10 TO 12,104.0,Model A,1988,69 years 07 months,708000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2018-06,BUKIT TIMAH,4 ROOM,4,TOH YI DR,07 TO 09,104.0,Model A,1988,69 years 03 months,710000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2018-07,BUKIT TIMAH,4 ROOM,4,TOH YI DR,01 TO 03,104.0,Model A,1988,69 years 01 month,638000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2018-07,BUKIT TIMAH,4 ROOM,4,TOH YI DR,04 TO 06,104.0,Model A,1988,69 years 02 months,675000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2019-05,BUKIT TIMAH,4 ROOM,4,TOH YI DR,04 TO 06,104.0,Model A,1988,68 years 03 months,680000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2019-05,BUKIT TIMAH,4 ROOM,4,TOH YI DR,10 TO 12,104.0,Model A,1988,68 years 03 months,699000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2019-05,BUKIT TIMAH,5 ROOM,4,TOH YI DR,07 TO 09,127.0,Improved,1988,68 years 03 months,880000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2019-08,BUKIT TIMAH,4 ROOM,4,TOH YI DR,07 TO 09,104.0,Model A,1988,68 years,670000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2019-12,BUKIT TIMAH,4 ROOM,4,TOH YI DR,10 TO 12,104.0,Model A,1988,67 years 08 months,725000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2020-06,BUKIT TIMAH,4 ROOM,4,TOH YI DR,10 TO 12,104.0,Model A,1988,67 years 02 months,680000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2020-10,BUKIT TIMAH,5 ROOM,4,TOH YI DR,04 TO 06,122.0,Improved,1988,66 years 11 months,832000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2020-11,BUKIT TIMAH,4 ROOM,4,TOH YI DR,07 TO 09,104.0,Model A,1988,66 years 09 months,750000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2020-12,BUKIT TIMAH,4 ROOM,4,TOH YI DR,13 TO 15,104.0,Model A,1988,66 years 09 months,710888.0,4 TOH YI DR,1.3385120672333,103.774569823527
2021-06,BUKIT TIMAH,5 ROOM,4,TOH YI DR,01 TO 03,122.0,Improved,1988,66 years 03 months,820000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2021-07,BUKIT TIMAH,4 ROOM,4,TOH YI DR,07 TO 09,104.0,Model A,1988,66 years 02 months,702900.0,4 TOH YI DR,1.3385120672333,103.774569823527
2021-09,BUKIT TIMAH,5 ROOM,4,TOH YI DR,01 TO 03,122.0,Improved,1988,65 years 11 months,828000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2021-10,BUKIT TIMAH,5 ROOM,4,TOH YI DR,01 TO 03,127.0,Improved,1988,65 years 10 months,860000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2022-02,BUKIT TIMAH,4 ROOM,4,TOH YI DR,10 TO 12,104.0,Model A,1988,65 years 06 months,776000.0,4 TOH YI DR,1.3385120672333,103.774569823527
2017-01,BUKIT TIMAH,5 ROOM,5,FARRER RD,10 TO 12,120.0,Standard,1974,56 years 03 months,890000.0,5 FARRER RD,1.31655990980042,103.807288102167
2018-02,BUKIT TIMAH,5 ROOM,5,FARRER RD,10 TO 12,125.0,Standard,1974,55 years 02 months,870000.0,5 FARRER RD,1.31655990980042,103.807288102167
2018-03,BUKIT TIMAH,5 ROOM,5,FARRER RD,19 TO 21,123.0,Standard,1974,55 years 01 month,883000.0,5 FARRER RD,1.31655990980042,103.807288102167
2018-04,BUKIT TIMAH,5 ROOM,5,FARRER RD,13 TO 15,123.0,Standard,1974,55 years 01 month,875000.0,5 FARRER RD,1.31655990980042,103.807288102167
2019-03,BUKIT TIMAH,5 ROOM,5,FARRER RD,01 TO 03,123.0,Standard,1974,54 years 02 months,830000.0,5 FARRER RD,1.31655990980042,103.807288102167
2019-10,BUKIT TIMAH,5 ROOM,5,FARRER RD,07 TO 09,123.0,Standard,1974,53 years 06 months,855000.0,5 FARRER RD,1.31655990980042,103.807288102167
2020-01,BUKIT TIMAH,5 ROOM,5,FARRER RD,07 TO 09,123.0,Standard,1974,53 years 03 months,850000.0,5 FARRER RD,1.31655990980042,103.807288102167
