month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Address,Latitude,Longtitude
2017-01,SENGKANG,2 ROOM,441B,FERNVALE RD,19 TO 21,50.0,Model A,2012,94 years 02 months,273000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2017-03,SENGKANG,2 ROOM,441B,FERNVALE RD,16 TO 18,50.0,Model A,2012,93 years 11 months,270000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2017-03,SENGKANG,4 ROOM,441B,FERNVALE RD,07 TO 09,93.0,Model A,2012,93 years 11 months,408000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2017-08,SENGKANG,2 ROOM,441B,FERNVALE RD,19 TO 21,50.0,Model A,2012,93 years 06 months,278000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2017-08,SENGKANG,4 ROOM,441B,FERNVALE RD,01 TO 03,92.0,Model A,2012,93 years 06 months,342000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2017-10,SENGKANG,4 ROOM,441B,FERNVALE RD,13 TO 15,93.0,Model A,2012,93 years 04 months,418000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2017-12,SENGKANG,4 ROOM,441B,FERNVALE RD,04 TO 06,93.0,Model A,2012,93 years 02 months,375000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2018-02,SENGKANG,3 ROOM,441B,FERNVALE RD,10 TO 12,69.0,Model A,2012,93 years 01 month,355000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2018-04,SENGKANG,4 ROOM,441B,FERNVALE RD,25 TO 27,94.0,Model A,2012,92 years 11 months,430000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2019-02,SENGKANG,4 ROOM,441B,FERNVALE RD,19 TO 21,94.0,Model A,2012,92 years,443800.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2019-04,SENGKANG,2 ROOM,441B,FERNVALE RD,13 TO 15,50.0,Model A,2012,91 years 10 months,206000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2019-06,SENGKANG,4 ROOM,441B,FERNVALE RD,13 TO 15,92.0,Model A,2012,91 years 08 months,430000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2019-07,SENGKANG,3 ROOM,441B,FERNVALE RD,04 TO 06,69.0,Model A,2012,91 years 07 months,306000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2019-08,SENGKANG,3 ROOM,441B,FERNVALE RD,10 TO 12,69.0,Model A,2012,91 years 06 months,332000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2019-09,SENGKANG,3 ROOM,441B,FERNVALE RD,25 TO 27,69.0,Model A,2012,91 years 05 months,330000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2019-11,SENGKANG,4 ROOM,441B,FERNVALE RD,01 TO 03,93.0,Model A,2012,91 years 03 months,391888.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2020-01,SENGKANG,4 ROOM,441B,FERNVALE RD,07 TO 09,93.0,Model A,2012,91 years 01 month,420000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2020-07,SENGKANG,2 ROOM,441B,FERNVALE RD,10 TO 12,50.0,Model A,2012,90 years 07 months,257000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2020-08,SENGKANG,4 ROOM,441B,FERNVALE RD,13 TO 15,93.0,Model A,2012,90 years 06 months,441000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2020-09,SENGKANG,2 ROOM,441B,FERNVALE RD,22 TO 24,50.0,Model A,2012,90 years 05 months,280000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2020-10,SENGKANG,3 ROOM,441B,FERNVALE RD,19 TO 21,69.0,Model A,2012,90 years 05 months,376000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2021-02,SENGKANG,4 ROOM,441B,FERNVALE RD,19 TO 21,94.0,Model A,2012,90 years 01 month,458000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2021-03,SENGKANG,4 ROOM,441B,FERNVALE RD,22 TO 24,94.0,Model A,2012,90 years,450000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2021-06,SENGKANG,4 ROOM,441B,FERNVALE RD,10 TO 12,92.0,Model A,2012,89 years 09 months,447000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2021-09,SENGKANG,2 ROOM,441B,FERNVALE RD,13 TO 15,50.0,Model A,2012,89 years 06 months,303000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2021-11,SENGKANG,2 ROOM,441B,FERNVALE RD,04 TO 06,50.0,Model A,2012,89 years 04 months,305888.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2022-02,SENGKANG,2 ROOM,441B,FERNVALE RD,22 TO 24,50.0,Model A,2012,89 years 01 month,310000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2022-03,SENGKANG,2 ROOM,441B,FERNVALE RD,16 TO 18,50.0,Model A,2012,89 years,335000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2022-08,SENGKANG,2 ROOM,441B,FERNVALE RD,04 TO 06,50.0,Model A,2012,88 years 06 months,345000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2022-10,SENGKANG,3 ROOM,441B,FERNVALE RD,13 TO 15,69.0,Model A,2012,88 years 05 months,435000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2022-04,SENGKANG,4 ROOM,441B,FERNVALE RD,16 TO 18,93.0,Model A,2012,88 years 11 months,522800.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2022-10,SENGKANG,4 ROOM,441B,FERNVALE RD,22 TO 24,94.0,Model A,2012,88 years 05 months,600000.0,441B FERNVALE RD,1.39121038063109,103.874688908059
2017-01,SENGKANG,3 ROOM,441A,FERNVALE RD,10 TO 12,69.0,Model A,2012,94 years 01 month,342000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
2017-01,SENGKANG,4 ROOM,441A,FERNVALE RD,16 TO 18,92.0,Model A,2012,94 years 01 month,428000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
2017-02,SENGKANG,3 ROOM,441A,FERNVALE RD,16 TO 18,69.0,Model A,2012,94 years 01 month,360000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
2017-04,SENGKANG,4 ROOM,441A,FERNVALE RD,04 TO 06,92.0,Model A,2012,93 years 10 months,382000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
2017-05,SENGKANG,3 ROOM,441A,FERNVALE RD,10 TO 12,69.0,Model A,2012,93 years 09 months,338000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
2017-05,SENGKANG,4 ROOM,441A,FERNVALE RD,07 TO 09,93.0,Model A,2012,93 years 09 months,395000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
2017-07,SENGKANG,4 ROOM,441A,FERNVALE RD,04 TO 06,93.0,Model A,2012,93 years 07 months,390000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
2017-07,SENGKANG,4 ROOM,441A,FERNVALE RD,13 TO 15,93.0,Model A,2012,93 years 07 months,420000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
2017-08,SENGKANG,4 ROOM,441A,FERNVALE RD,10 TO 12,93.0,Model A,2012,93 years 06 months,415000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
2017-08,SENGKANG,4 ROOM,441A,FERNVALE RD,16 TO 18,93.0,Model A,2012,93 years 06 months,420000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
2017-09,SENGKANG,4 ROOM,441A,FERNVALE RD,22 TO 24,94.0,Model A,2012,93 years 05 months,425000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
2017-11,SENGKANG,4 ROOM,441A,FERNVALE RD,16 TO 18,93.0,Model A,2012,93 years 03 months,408000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
2018-01,SENGKANG,4 ROOM,441A,FERNVALE RD,16 TO 18,93.0,Model A,2012,93 years 01 month,400000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
2018-06,SENGKANG,4 ROOM,441A,FERNVALE RD,13 TO 15,93.0,Model A,2012,92 years 09 months,417000.0,441A FERNVALE RD,1.39109783626622,103.875166223525
