month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Address,Latitude,Longtitude
2017-01,WOODLANDS,3 ROOM,23,MARSILING DR,04 TO 06,67.0,New Generation,1977,59 years 10 months,242000.0,23 MARSILING DR,1.44153975794109,103.773299891196
2017-03,WOODLANDS,3 ROOM,23,MARSILING DR,07 TO 09,67.0,New Generation,1977,59 years 08 months,265000.0,23 MARSILING DR,1.44153975794109,103.773299891196
2017-04,WOODLANDS,3 ROOM,23,MARSILING DR,04 TO 06,82.0,New Generation,1977,59 years 07 months,285000.0,23 MARSILING DR,1.44153975794109,103.773299891196
2017-08,WOODLANDS,3 ROOM,23,MARSILING DR,07 TO 09,67.0,New Generation,1977,59 years 03 months,231000.0,23 MARSILING DR,1.44153975794109,103.773299891196
2017-09,WOODLANDS,3 ROOM,23,MARSILING DR,10 TO 12,82.0,New Generation,1977,59 years 03 months,250000.0,23 MARSILING DR,1.44153975794109,103.773299891196
2017-12,WOODLANDS,4 ROOM,23,MARSILING DR,07 TO 09,92.0,New Generation,1977,58 years 11 months,263000.0,23 MARSILING DR,1.44153975794109,103.773299891196
2018-01,WOODLANDS,3 ROOM,23,MARSILING DR,01 TO 03,67.0,New Generation,1977,58 years 11 months,235000.0,23 MARSILING DR,1.44153975794109,103.773299891196
2018-07,WOODLANDS,3 ROOM,23,MARSILING DR,01 TO 03,67.0,New Generation,1977,58 years 05 months,238000.0,23 MARSILING DR,1.44153975794109,103.773299891196
2018-08,WOODLANDS,3 ROOM,23,MARSILING DR,04 TO 06,82.0,New Generation,1977,58 years 03 months,245000.0,23 MARSILING DR,1.44153975794109,103.773299891196
2018-10,WOODLANDS,3 ROOM,23,MARSILING DR,04 TO 06,82.0,New Generation,1977,58 years 02 months,245000.0,23 MARSILING DR,1.44153975794109,103.773299891196
2019-02,WOODLANDS,3 ROOM,23,MARSILING DR,07 TO 09,82.0,New Generation,1977,57 years 09 months,226000.0,23 MARSILING DR,1.44153975794109,103.773299891196
2019-07,WOODLANDS,3 ROOM,23,MARSILING DR,07 TO 09,67.0,New Generation,1977,57 years 04 months,215000.0,23 MARSILING DR,1.44153975794109,103.773299891196
